* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 20, 2023 8:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: IEF Comp Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
5600.000000	4.733163	0
5700.000000	4.641153	0
5800.000000	4.571601	0
5900.000000	4.462109	0
6000.000000	4.359405	0
6080.000000	4.280397	0
6150.000000	4.213618	0
6220.000000	4.149444	0
6300.000000	4.075288	0
6400.000000	3.975514	0
6500.000000	3.864472	0
6600.000000	3.734427	0
6700.000000	3.579574	0
6800.000000	3.403636	0
6900.000000	3.211706	0
7000.000000	3.011847	0
7100.000000	2.810441	0
7200.000000	2.608656	0
7300.000000	2.415897	0
7400.000000	2.243601	0
7500.000000	2.086565	0
7620.000000	1.924605	0
7750.000000	1.790453	0
7880.000000	1.694361	0
8000.000000	1.638321	0
8120.000000	1.613207	0
8250.000000	1.617264	0
8380.000000	1.659387	0
8500.000000	1.733718	0
8620.000000	1.836086	0
8750.000000	1.984293	0
8850.000000	2.127872	0
9000.000000	2.380808	0
9120.000000	2.608789	0
9250.000000	2.880628	0
9380.000000	3.150985	0
9500.000000	3.380803	0
9620.000000	3.562168	0
9750.000000	3.680135	0
9880.000000	3.720254	0
10000.000000	3.694257	0
10150.000000	3.617350	0
10300.000000	3.533467	0
10440.000000	3.439188	0
10600.000000	3.288350	0
10750.000000	3.089622	0
10900.000000	2.709549	0
11060.000000	2.186718	0
11200.000000	1.660710	0
11380.000000	0.990864	0
11500.000000	0.617546	0
11720.000000	0.023202	0
11800.000000	-0.152676	0
12060.000000	-0.627967	0
12200.000000	-0.817103	0
12410.000000	-1.005635	0
12500.000000	-1.064387	0
12650.000000	-1.139203	0
12800.000000	-1.198433	0
13150.000000	-1.326772	0
13200.000000	-1.347754	0
13400.000000	-1.453450	0
13600.000000	-1.597224	0
13800.000000	-1.796494	0
14000.000000	-2.066428	0
14300.000000	-2.570488	0
14500.000000	-2.967243	0
14750.000000	-3.513165	0
15000.000000	-4.078491	0
15250.000000	-4.648338	0
15500.000000	-5.208065	0
15750.000000	-5.753293	0
16000.000000	-6.294486	0
16250.000000	-6.844319	0
16500.000000	-7.404199	0
16750.000000	-7.963363	0
17000.000000	-8.521154	0
17250.000000	-9.072963	0
17500.000000	-9.623235	0
17750.000000	-10.193276	0
18000.000000	-10.807091	0
18250.000000	-11.478837	0
18500.000000	-12.200197	0
18750.000000	-12.910430	0
19000.000000	-13.465681	0
19250.000000	-13.690672	0
19500.000000	-13.429779	0
19750.000000	-12.339335	0
